orig_string	country	city	city_wd	parent_institution_normalized	parent_type	parent_wd	parent_wikidata_uri	parent_reconci	parent_factgrid	parent_ROR	parent_ROR_link	parent_url	institutional_subunit_normalized	subunit_wd	subunit_wikidata_uri	subunit_reconci	subunit_factgrid	subunit_ROR	subunit_ROR_link	subunit_url
Leipzig	Deutschland	Leipzig	Q2079																	
Leopoldina – Nationale Akademie der Wissenschaften	Deutschland			Leopoldina – Nationale Akademie der Wissenschaften	Akademie	Q543804	http://www.wikidata.org/entity/Q543804	Deutsche Akademie der Naturforscher Leopoldina	Q38612	03v0k6341	https://ror.org/03v0k6341									
Leopoldina, Halle (Saale)	Deutschland	Halle	Q2814	Leopoldina – Nationale Akademie der Wissenschaften	Akademie	Q543804	http://www.wikidata.org/entity/Q543804	Deutsche Akademie der Naturforscher Leopoldina	Q38612	03v0k6341	https://ror.org/03v0k6341									
Leuphana Universität Lüneburg	Deutschland	Lüneburg	Q3920	Leuphana Universität Lüneburg	Universität	Q505170	http://www.wikidata.org/entity/Q505170	Leuphana Universität Lüneburg		02w2y2t16	https://ror.org/02w2y2t16									
LMU München, Deutschland	Deutschland	München	Q1726	Ludwig-Maximilians Universität München	Universität	Q55044	http://www.wikidata.org/entity/Q55044	Ludwig-Maximilians-Universität München	Q21887	05591te55	https://ror.org/05591te55									
LMU, München	Deutschland	München	Q1726	Ludwig-Maximilians Universität München	Universität	Q55044	http://www.wikidata.org/entity/Q55044	Ludwig-Maximilians-Universität München	Q21887	05591te55	https://ror.org/05591te55									
Ludwig-Maximilians Universität München	Deutschland	München	Q1726	Ludwig-Maximilians Universität München	Universität	Q55044	http://www.wikidata.org/entity/Q55044	Ludwig-Maximilians-Universität München	Q21887	05591te55	https://ror.org/05591te55									
Ludwig-Maximilians-Universität München, Deutschland	Deutschland	München	Q1726	Ludwig-Maximilians Universität München	Universität	Q55044	http://www.wikidata.org/entity/Q55044	Ludwig-Maximilians-Universität München	Q21887	05591te55	https://ror.org/05591te55									
Mainzer Zentrum für Digitalität in den Geistes- und Kulturwissenschaften, Deutschland	Deutschland	Mainz	Q1720	Mainzer Zentrum für Digitalität in den Geistes- und Kulturwissenschaften		Q47213994	http://www.wikidata.org/entity/Q47213994	mainzed		02fm9ey65	https://ror.org/02fm9ey65									
Martin-Luther-Universität Halle-Wittenberg, Deutschland	Deutschland	Halle	Q2814	Martin-Luther-Universität Halle-Wittenberg	Universität	Q32120	http://www.wikidata.org/entity/Q32120	Martin-Luther-Universität Halle-Wittenberg	Q11306	05gqaka33	https://ror.org/05gqaka33									
Martin-Luther-Universität Halle-Wittenberg	Deutschland	Halle	Q2814	Martin-Luther-Universität Halle-Wittenberg	Universität	Q32120	http://www.wikidata.org/entity/Q32120	Martin-Luther-Universität Halle-Wittenberg	Q11306	05gqaka33	https://ror.org/05gqaka33									
Max Weber Stiftung (MWS), Deutschland	Deutschland			Max Weber Stiftung		Q1913589	http://www.wikidata.org/entity/Q1913589	Max Weber Stiftung		02esxtn62	https://ror.org/02esxtn62									
Max Weber Stiftung, Bonn	Deutschland	Bonn	Q586	Max Weber Stiftung		Q1913589	http://www.wikidata.org/entity/Q1913589	Max Weber Stiftung		02esxtn62	https://ror.org/02esxtn62									
Max Weber Stiftung, Deutschland	Deutschland			Max Weber Stiftung		Q1913589	http://www.wikidata.org/entity/Q1913589	Max Weber Stiftung		02esxtn62	https://ror.org/02esxtn62									
Max Weber Stiftung	Deutschland			Max Weber Stiftung		Q1913589	http://www.wikidata.org/entity/Q1913589	Max Weber Stiftung		02esxtn62	https://ror.org/02esxtn62									
MITH, University of Maryland, College Park, MD, USA	USA	College Park, MD	Q668676	University of Maryland	Universität	Q503415	http://www.wikidata.org/entity/Q503415	University of Maryland, College Park		047s2c258	https://ror.org/047s2c258		MITH							
Munich Research				Munich Research																
Österreichische Akademie der Wissenschaften, Austrian Centre for Digital Humanities	Österreich	Wien	Q1741	Österreichische Akademie der Wissenschaften	Akademie	Q299015	http://www.wikidata.org/entity/Q299015	Österreichische Akademie der Wissenschaften	Q399974	03anc3s24	https://ror.org/03anc3s24		Austrian Centre for Digital Humanities and Cultural Heritage	Q30268470	http://www.wikidata.org/entity/Q30268470	Austrian Centre for Digital Humanities and Cultural Heritage		028bsh698	https://ror.org/028bsh698	
dataforhistory.org				dataforhistory.org	Webplattform															
Österreichische Akademie der Wissenschaften, Österreich	Österreich	Wien	Q1741	Österreichische Akademie der Wissenschaften	Akademie	Q299015	http://www.wikidata.org/entity/Q299015	Österreichische Akademie der Wissenschaften	Q399974	03anc3s24	https://ror.org/03anc3s24									
CLARIN ERIC				CLARIN ERIC	ERIC	Q2986825	http://www.wikidata.org/entity/Q2986825	CLARIN												
Österreichische Akademie der Wissenschaften	Österreich	Wien	Q1741	Österreichische Akademie der Wissenschaften	Akademie	Q299015	http://www.wikidata.org/entity/Q299015	Österreichische Akademie der Wissenschaften	Q399974	03anc3s24	https://ror.org/03anc3s24									
Österreichische Nationalbibliothek	Österreich	Wien	Q1741	Österreichische Nationalbibliothek	Bibliothek	Q304037	http://www.wikidata.org/entity/Q304037	Österreichische Nationalbibliothek	Q219414	03dscga50	https://ror.org/03dscga50									
Otto-Friedrich-Universität Bamberg, Deutschland	Deutschland	Bamberg	Q3936	Otto-Friedrich-Universität Bamberg	Universität	Q707272	http://www.wikidata.org/entity/Q707272	Otto-Friedrich-Universität Bamberg	Q172923	01c1w6d29	https://ror.org/01c1w6d29									
Pedagogical University of Kraków, Polen	Polen	Krakau	Q31487	Pedagogical University of Kraków	Universität	Q677662	http://www.wikidata.org/entity/Q677662	Pädagogische Universität Krakau		030mz2444	https://ror.org/030mz2444									
Philipps-Universität Marburg, Deutschland	Deutschland	Marburg	Q3869	Philipps-Universität Marburg	Universität	Q155354	http://www.wikidata.org/entity/Q155354	Philipps-Universität Marburg	Q23043	01rdrb571	https://ror.org/01rdrb571									
Philipps-Universität Marburg, Marburg Center for Digital Culture & Infrastructure (MCDCI), Deutschland	Deutschland	Marburg	Q3869	Philipps-Universität Marburg	Universität	Q155354	http://www.wikidata.org/entity/Q155354	Philipps-Universität Marburg	Q23043	01rdrb571	https://ror.org/01rdrb571									
Ruhr-Universität Bochum	Deutschland	Bochum	Q2103	Ruhr-Universität Bochum	Universität	Q309948	http://www.wikidata.org/entity/Q309948	Ruhr-Universität Bochum	Q398970	04tsk2644	https://ror.org/04tsk2644									
Sächsische Akademie der Wissenschaften zu Leipzig	Deutschland	Leipzig	Q2079	Sächsische Akademie der Wissenschaften zu Leipzig	Akademie	Q451079	http://www.wikidata.org/entity/Q451079	Sächsische Akademie der Wissenschaften	Q230418	03zxjdk07	https://ror.org/03zxjdk07									
Staats- und Universitätsbibliothek Dresden, Deutschland	Deutschland	Dresden	Q1731	Sächsische Landesbibliothek – Staats- und Universitätsbibliothek	Bibliothek	Q323270	http://www.wikidata.org/entity/Q323270	Sächsische Landesbibliothek – Staats- und Universitätsbibliothek Dresden	Q11258	03wf51b65	https://ror.org/03wf51b65									
Staatsbibliothek Berlin	Deutschland	Berlin	Q64	Staatsbibliothek zu Berlin	Bibliothek	Q170109	http://www.wikidata.org/entity/Q170109	Staatsbibliothek zu Berlin	Q10660	02ysgg478	https://ror.org/02ysgg478									
Staatsbibliothek zu Berlin - Preußischer Kulturbesitz, Deutschland	Deutschland	Berlin	Q64	Staatsbibliothek zu Berlin	Bibliothek	Q170109	http://www.wikidata.org/entity/Q170109	Staatsbibliothek zu Berlin	Q10660	02ysgg478	https://ror.org/02ysgg478									
Stadtarchiv Graz	Österreich	Graz	Q13298	Stadtarchiv Graz																
Steinheim-Institut	Deutschland			Salomon Ludwig Steinheim-Institut für deutsch-jüdische Geschichte		Q974628	http://www.wikidata.org/entity/Q974628	Salomon Ludwig Steinheim-Institut		01btqj997	https://ror.org/01btqj997									
Technische Hochschule Georg Simon Ohm, Kesslerplatz 12, 90489 Nürnberg, Deutschland	Deutschland	Nürnberg	Q2090	Technische Hochschule Georg Simon Ohm, Nürnberg	Universität	Q1503440	http://www.wikidata.org/entity/Q1503440	Georg-Simon-Ohm-Hochschule für angewandte Wissenschaften – Fachhochschule Nürnberg		00nggaz43	https://ror.org/00nggaz43									
Technische Universität Graz, Österreich	Österreich	Graz	Q13298	Technische Universität Graz	Universität	Q689775	http://www.wikidata.org/entity/Q689775	Technische Universität Graz		00d7xrm67	https://ror.org/00d7xrm67									
Telota/Berlin-Brandenburgische Akademie der Wissenschaften	Deutschland	Berlin	Q64	Berlin-Brandenburgische Akademie der Wissenschaften	Akademie	Q219989	http://www.wikidata.org/entity/Q219989	Berlin-Brandenburgische Akademie der Wissenschaften	Q230420	05jgq9443	https://ror.org/05jgq9443		Telota							
Textloop				Textloop																
The University of Edinburgh, Law School, Vereinigtes Königreich	Vereinigtes Königreich	Edinburgh	Q23436	The University of Edinburgh	Universität	Q160302	http://www.wikidata.org/entity/Q160302	Universität von Edinburgh	Q96972	01nrxwf90	https://ror.org/01nrxwf90		Law School							
TU Berlin, Deutschland	Deutschland	Berlin	Q64	Technische Universität Berlin	Universität	Q51985	http://www.wikidata.org/entity/Q51985	Technische Universität Berlin	Q405632	03v4gjf40	https://ror.org/03v4gjf40									
Bibliotheca Hertziana, Rom, Italien	Italien	Rom	Q220	Bibliotheca Hertziana - Max-Planck-Institut für Kunstgeschichte		Q339759	http://www.wikidata.org/entity/Q339759	Bibliotheca Hertziana	Q389122	04g6zen34	https://ror.org/04g6zen34									
TU Berlin	Deutschland	Berlin	Q64	Technische Universität Berlin	Universität	Q51985	http://www.wikidata.org/entity/Q51985	Technische Universität Berlin	Q405632	03v4gjf40	https://ror.org/03v4gjf40									
TU Darmstadt, Deutschland	Deutschland	Darmstadt	Q2973	Technische Universität Darmstadt	Universität	Q310695	http://www.wikidata.org/entity/Q310695	Technische Universität Darmstadt	Q248210	05n911h24	https://ror.org/05n911h24									
TU Dresden, Deutschland	Deutschland	Dresden	Q1731	Technische Universität Dresden	Universität	Q158158	http://www.wikidata.org/entity/Q158158	Technische Universität Dresden	Q271297	042aqky30	https://ror.org/042aqky30									
UCLAB, Fachhochschule Potsdam, Deutschland	Deutschland	Potsdam	Q1711	Fachhochschule Potsdam	Fachhochschule	Q896706	http://www.wikidata.org/entity/Q896706	Fachhochschule Potsdam		012m9bp23	https://ror.org/012m9bp23									
ULB Darmstadt	Deutschland	Darmstadt	Q2973	ULB Darmstadt	Bibliothek															
FH Potsdam	Deutschland	Potsdam	Q1711	Fachhochschule Potsdam	Fachhochschule	Q896706	http://www.wikidata.org/entity/Q896706	Fachhochschule Potsdam		012m9bp23	https://ror.org/012m9bp23									
Uni Passau, Deutschland	Deutschland	Passau	Q4190	Universität Passau	Universität	Q704468	http://www.wikidata.org/entity/Q704468	Universität Passau		05ydjnb78	https://ror.org/05ydjnb78									
Univerität Bielefeld - SFB 1288 Praktiken des Vergleichens, Deutschland	Deutschland	Bielefeld	Q2112	Universität Bielefeld	Universität	Q24382	http://www.wikidata.org/entity/Q24382	Universität Bielefeld		02hpadn98	https://ror.org/02hpadn98		SFB 1288 Praktiken des Vergleichens	Q114421752	http://www.wikidata.org/entity/Q114421752	SFB 1288: Praktiken des Vergleichens: Die Welt ordnen und verändern				
Universität Basel, Schweiz	Schweiz	Basel	Q78	Universität Basel	Universität	Q372608	http://www.wikidata.org/entity/Q372608	Universität Basel	Q94624	02s6k3f65	https://ror.org/02s6k3f65									
Universität Bern, Schweiz	Schweiz	Bern	Q70	Universität Bern	Universität	Q659080	http://www.wikidata.org/entity/Q659080	Universität Bern	Q99634	02k7v4d05	https://ror.org/02k7v4d05									
Universität Bielefeld, Deutschland	Deutschland	Bielefeld	Q2112	Universität Bielefeld	Universität	Q24382	http://www.wikidata.org/entity/Q24382	Universität Bielefeld		02hpadn98	https://ror.org/02hpadn98									
Universität des Saarlandes, Lehrstuhl für Neuere deutsche Literaturwissenschaft	Deutschland	Saarbrücken	Q1724	Universität des Saarlandes	Universität	Q700758	http://www.wikidata.org/entity/Q700758	Universität des Saarlandes	Q419363	01jdpyv68	https://ror.org/01jdpyv68		Lehrstuhl für Neuere deutsche Literaturwissenschaft/Medienwissenschaft							
Medienwissenschaft, Saarbrücken, Deutschland																				
Universität Duisburg-Essen, Deutschland	Deutschland	Duisburg, Essen		Universität Duisburg-Essen	Universität	Q696757	http://www.wikidata.org/entity/Q696757	Universität Duisburg-Essen		04mz5ra38	https://ror.org/04mz5ra38									
Universität Erfurt	Deutschland	Erfurt	Q1729	Universität Erfurt	Universität	Q702524	http://www.wikidata.org/entity/Q702524	Universität Erfurt	Q11263	03606hw36	https://ror.org/03606hw36									
Universität Graz, Österreich	Österreich	Graz	Q13298	Karl-Franzens-Universität Graz	Universität	Q622683	http://www.wikidata.org/entity/Q622683	Universität Graz	Q175366	01faaaf77	https://ror.org/01faaaf77									
Universität Greifswald, Deutschland	Deutschland	Greifswald	Q4098	Universität Greifswald	Universität	Q165528	http://www.wikidata.org/entity/Q165528	Universität Greifswald	Q34815	00r1edq15	https://ror.org/00r1edq15									
Universität Hamburg	Deutschland	Hamburg	Q1055	Universität Hamburg	Universität	Q156725	http://www.wikidata.org/entity/Q156725	Universität Hamburg	Q172914	00g30e956	https://ror.org/00g30e956									
Universität Heidelberg, Deutschland	Deutschland	Heidelberg	Q2966	Ruprecht-Karls-Universität Heidelberg	Universität	Q151510	http://www.wikidata.org/entity/Q151510	Ruprecht-Karls-Universität Heidelberg	Q22237	038t36y30	https://ror.org/038t36y30									
Universität Innsbruck, Österreich	Österreich	Innsbruck	Q1735	Universität Innsbruck	Universität	Q875788	http://www.wikidata.org/entity/Q875788	Universität Innsbruck		054pv6659	https://ror.org/054pv6659									
Universität Mailand	Italien	Mailand	Q490	Universität Mailand																
Universität Münster, Deutschland	Deutschland	Münster	Q2742	Westfälische Wilhelms Universität Münster	Universität	Q168426	http://www.wikidata.org/entity/Q168426	Westfälische Wilhelms-Universität Münster	Q43648	00pd74e08	https://ror.org/00pd74e08									
Universität Paderborn, Deutschland	Deutschland	Paderborn	Q2971	Universität Paderborn	Universität	Q679134	http://www.wikidata.org/entity/Q679134	Universität Paderborn	Q399791	058kzsd48	https://ror.org/058kzsd48									
Universität Paderborn, Musikwissenschaftliches Seminar Detmold/Paderborn, Deutschland	Deutschland	Paderborn, Detmold		Musikwissenschaftliches Seminar Detmold/Paderborn		Q56849262	http://www.wikidata.org/entity/Q56849262	Musikwissenschaftliches Seminar Detmold/Paderborn		023392c84	https://ror.org/023392c84									
Universität Paderborn	Deutschland	Paderborn	Q2971	Universität Paderborn	Universität	Q679134	http://www.wikidata.org/entity/Q679134	Universität Paderborn	Q399791	058kzsd48	https://ror.org/058kzsd48									
Universität Passau, Deutschland	Deutschland	Passau	Q4190	Universität Passau	Universität	Q704468	http://www.wikidata.org/entity/Q704468	Universität Passau		05ydjnb78	https://ror.org/05ydjnb78									
Universität Postdam, Deutschland	Deutschland	Potsdam	Q1711	Universität Potsdam	Universität	Q153012	http://www.wikidata.org/entity/Q153012	Universität Potsdam	Q245478	03bnmw459	https://ror.org/03bnmw459									
Universität Regensburg, Deutschland	Deutschland	Regensburg	Q2978	Universität Regensburg	Universität	Q574571	http://www.wikidata.org/entity/Q574571	Universität Regensburg	Q172915	01eezs655	https://ror.org/01eezs655									
Universität Sankt Gallen, CH	Schweiz	Sankt Gallen	Q25607	Universität Sankt Gallen	Universität	Q673354	http://www.wikidata.org/entity/Q673354	Universität St. Gallen		0561a3s31	https://ror.org/0561a3s31									
Universität Siegen, Deutschland	Deutschland	Siegen	Q3167	Universität Siegen	Universität	Q504723	http://www.wikidata.org/entity/Q504723	Universität Siegen		02azyry73	https://ror.org/02azyry73									
Universität Stuttgart, Deutschland	Deutschland	Stuttgart	Q1022	Universität Stuttgart	Universität	Q122453	http://www.wikidata.org/entity/Q122453	Universität Stuttgart	Q160232	04vnq7t77	https://ror.org/04vnq7t77									
Universität Köln, Deutschland	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774									
Universität Stuttgart, Institut für Architektur von Anwendungssystemen (IAAS)	Deutschland	Stuttgart	Q1022	Universität Stuttgart	Universität	Q122453	http://www.wikidata.org/entity/Q122453	Universität Stuttgart	Q160232	04vnq7t77	https://ror.org/04vnq7t77		Institut für Architektur von Anwendungssystemen							
Universität zu Köln	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774									
Universität Trier, Deutschland	Deutschland	Trier	Q3138	Universität Trier	Universität	Q702486	http://www.wikidata.org/entity/Q702486	Universität Trier		02778hg05	https://ror.org/02778hg05									
Universität Trier, Servicezentrum eSciences, Deutschland	Deutschland	Trier	Q3138	Universität Trier	Universität	Q702486	http://www.wikidata.org/entity/Q702486	Universität Trier		02778hg05	https://ror.org/02778hg05		Servicezentrum eSciences	Q113993555	http://www.wikidata.org/entity/Q113993555	Servicezentrum eSciences (SeS)				
Universität Wien, Österreich	Österreich	Wien	Q1741	Universität Wien	Universität	Q165980	http://www.wikidata.org/entity/Q165980	Universität Wien	Q22679	03prydq77	https://ror.org/03prydq77									
Universität Würzburg, Deutschland	Deutschland	Würzburg	Q2999	Julius-Maximilians-Universität Würzburg	Universität	Q161976	http://www.wikidata.org/entity/Q161976	Julius-Maximilians-Universität Würzburg	Q34721	00fbnyb24	https://ror.org/00fbnyb24									
Universität Würzburg	Deutschland	Würzburg	Q2999	Julius-Maximilians-Universität Würzburg	Universität	Q161976	http://www.wikidata.org/entity/Q161976	Julius-Maximilians-Universität Würzburg	Q34721	00fbnyb24	https://ror.org/00fbnyb24									
Universität zu Köln, Cologne Center for eHumanities (CCeH)	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774		Cologne Center for eHumanities							
Universität zu Köln, Data Center for the Humanities (DCH)	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774		Data Center for the Humanites							
Universität zu Köln, Data Center for the Humanities (DCH)	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774		Data Center for the Humanites							
Universität zu Köln, Institut für Digital Humanities (IDH)	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774		Institut für Digital Humanities							
Universität zu Köln, Data Center for the Humanities (DCH); Universität zu Köln, Institut für Linguistik (IfL)	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774									
Universität zu Köln, Institut für Digital Humanities (IDH)	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774		Institut für Digital Humanities							
Cologne Center for eHumanities	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774		Cologne Center for eHumanities							
Universitätsbibliothek Heidelberg, Deutschland	Deutschland	Heidelberg	Q2966	Ruprecht-Karls-Universität Heidelberg	Universität	Q151510	http://www.wikidata.org/entity/Q151510	Ruprecht-Karls-Universität Heidelberg	Q22237	038t36y30	https://ror.org/038t36y30		Universitätsbibliothek							
Université de Tours	Frankreich			Université de Tours	Universität	Q494335	http://www.wikidata.org/entity/Q494335	Universität Tours		02wwzvj46	https://ror.org/02wwzvj46									
Université Le Mans, Frankreich	Frankreich	Le Mans	Q1476	Le Mans Université	Universität	Q834825	http://www.wikidata.org/entity/Q834825	Université du Mans		01mtcc283	https://ror.org/01mtcc283									
University of Hamburg, Deutschland	Deutschland	Hamburg	Q1055	Universität Hamburg	Universität	Q156725	http://www.wikidata.org/entity/Q156725	Universität Hamburg	Q172914	00g30e956	https://ror.org/00g30e956									
Westfälische Wilhelms Universität Münster, Deutschland	Deutschland	Münster	Q2742	Westfälische Wilhelms Universität Münster	Universität	Q168426	http://www.wikidata.org/entity/Q168426	Westfälische Wilhelms-Universität Münster	Q43648	00pd74e08	https://ror.org/00pd74e08									
Wittgenstein Archiv Universität Bergen/Norwegen	Norwegen	Bergen	Q26793	Universität Bergen	Universität	Q204457	http://www.wikidata.org/entity/Q204457	Universität Bergen		03zga2b32	https://ror.org/03zga2b32		Wittgenstein Archiv							
WU Wien	Österreich	Wien	Q1741	Wirtschaftsuniversität Wien	Universität	Q278044	http://www.wikidata.org/entity/Q278044	Wirtschaftsuniversität Wien		03yn8s215	https://ror.org/03yn8s215									
Zentrum für Informationsmodellierung, Universität Graz, Österreich	Österreich	Graz	Q13298	Karl-Franzens-Universität Graz	Universität	Q622683	http://www.wikidata.org/entity/Q622683	Universität Graz	Q175366	01faaaf77	https://ror.org/01faaaf77		Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities							
Austrian Center for Digital Humanities, Österreichische Akademie der Wissenschaften	Österreich	Wien	Q1741	Österreichische Akademie der Wissenschaften	Akademie	Q299015	http://www.wikidata.org/entity/Q299015	Österreichische Akademie der Wissenschaften	Q399974	03anc3s24	https://ror.org/03anc3s24		Austrian Centre for Digital Humanities and Cultural Heritage	Q30268470	http://www.wikidata.org/entity/Q30268470	Austrian Centre for Digital Humanities and Cultural Heritage		028bsh698	https://ror.org/028bsh698	
Zentrum für Philologie und Digitalität „Kallimachos“, Universität Würzburg, Deutschland	Deutschland	Würzburg	Q2999	Julius-Maximilians-Universität Würzburg	Universität	Q161976	http://www.wikidata.org/entity/Q161976	Julius-Maximilians-Universität Würzburg	Q34721	00fbnyb24	https://ror.org/00fbnyb24		Zentrum für Philologie und Digitalität „Kallimachos“							
Lehrstuhl für Künstliche Intelligenz und Angewandte Informatik, Universität Würzburg, Deutschland	Deutschland	Würzburg	Q2999	Julius-Maximilians-Universität Würzburg	Universität	Q161976	http://www.wikidata.org/entity/Q161976	Julius-Maximilians-Universität Würzburg	Q34721	00fbnyb24	https://ror.org/00fbnyb24		Lehrstuhl für Künstliche Intelligenz und Angewandte Informatik							
Akademie der Wissenschaften und der Literatur	Deutschland	Mainz	Q1720	Akademie der Wissenschaften und der Literatur Mainz	Akademie	Q414163	http://www.wikidata.org/entity/Q414163	Akademie der Wissenschaften und der Literatur Mainz	Q230422	01kdxra28	https://ror.org/01kdxra28									
Mainz	Deutschland	Mainz	Q1720																	
Akademie der Wissenschaften und der Literatur, Mainz	Deutschland	Mainz	Q1720	Akademie der Wissenschaften und der Literatur Mainz	Akademie	Q414163	http://www.wikidata.org/entity/Q414163	Akademie der Wissenschaften und der Literatur Mainz	Q230422	01kdxra28	https://ror.org/01kdxra28									
Akademie der Wissenschaften und Literatur	Deutschland	Mainz	Q1720	Akademie der Wissenschaften und der Literatur Mainz	Akademie	Q414163	http://www.wikidata.org/entity/Q414163	Akademie der Wissenschaften und der Literatur Mainz	Q230422	01kdxra28	https://ror.org/01kdxra28									
Mainz, Deutschland	Deutschland	Mainz	Q1720																	
BBAW, Deutschland	Deutschland	Berlin	Q64	Berlin-Brandenburgische Akademie der Wissenschaften	Akademie	Q219989	http://www.wikidata.org/entity/Q219989	Berlin-Brandenburgische Akademie der Wissenschaften	Q230420	05jgq9443	https://ror.org/05jgq9443									
Beethoven-Haus Bonn, Deutschland	Deutschland	Bonn	Q586	Beethoven-Haus Bonn		Q318084	http://www.wikidata.org/entity/Q318084	Beethoven-Haus		05mhxe367	https://ror.org/05mhxe367									
Berlin, Deutschland	Deutschland	Berlin	Q64																	
Bibliotheca Hertziana, Roma, Italien	Italien	Rom	Q220	Bibliotheca Hertziana - Max-Planck-Institut für Kunstgeschichte		Q339759	http://www.wikidata.org/entity/Q339759	Bibliotheca Hertziana	Q389122	04g6zen34	https://ror.org/04g6zen34									
FAU Erlangen-Nürnberg, Deutschland	Deutschland	Erlangen, Nürnberg		Friedrich-Alexander Universität Erlangen-Nürnberg	Universität	Q40025	http://www.wikidata.org/entity/Q40025	Friedrich-Alexander-Universität Erlangen-Nürnberg		00f7hpc57	https://ror.org/00f7hpc57									
TU Berlin, Berlin, Deutschland	Deutschland	Berlin	Q64	Technische Universität Berlin	Universität	Q51985	http://www.wikidata.org/entity/Q51985	Technische Universität Berlin	Q405632	03v4gjf40	https://ror.org/03v4gjf40									
Center für Digitale Systeme				Center für Digitale Systeme																
Centrum für Religionswissenschaftliche Studien, Ruhr-Universität Bochum, Deutschland	Deutschland	Bochum	Q2103	Ruhr-Universität Bochum	Universität	Q309948	http://www.wikidata.org/entity/Q309948	Ruhr-Universität Bochum	Q398970	04tsk2644	https://ror.org/04tsk2644		Centrum für Religionswissenschaftliche Studien							
Chair of Applied Computer Science and Artificial Intelligence, Universität Würzburg, Deutschland	Deutschland	Würzburg	Q2999	Julius-Maximilians-Universität Würzburg	Universität	Q161976	http://www.wikidata.org/entity/Q161976	Julius-Maximilians-Universität Würzburg	Q34721	00fbnyb24	https://ror.org/00fbnyb24		Lehrstuhl für Künstliche Intelligenz und Angewandte Informatik							
Chair of Literary Computing, Universität Würzburg, Deutschland	Deutschland	Würzburg	Q2999	Julius-Maximilians-Universität Würzburg	Universität	Q161976	http://www.wikidata.org/entity/Q161976	Julius-Maximilians-Universität Würzburg	Q34721	00fbnyb24	https://ror.org/00fbnyb24		Institut für Deutsche Philologie							
Citlab, Universität Rostock	Deutschland	Rostock	Q2861	Universität Rostock	Universität	Q159895	http://www.wikidata.org/entity/Q159895	Universität Rostock	Q22468	03zdwsf69	https://ror.org/03zdwsf69		CITLab							
Cologne Center for eHumanities (CCeH), Universität zu Köln, Deutschland	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774		Cologne Center for eHumanities							
Theaterwissenschaftliche Sammlung der Universität zu Köln	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774		Theaterwissenschaftliche Sammlung	Q2416312	http://www.wikidata.org/entity/Q2416312	Theaterwissenschaftliche Sammlung Universität zu Köln				
Computer Vision Lab, TU Wien	Österreich	Wien	Q1741	Technische Universität Wien	Universität	Q689400	http://www.wikidata.org/entity/Q689400	Technische Universität Wien		04d836q62	https://ror.org/04d836q62									
Data Center for the Humanities (DCH), Universität zu Köln	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774		Data Center for the Humanites							
Data Center for the Humanities, Universität zu Köln, Deutschland	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774		Data Center for the Humanites							
Data Center for the Humanities, Universität zu Köln	Deutschland	Köln	Q365	Universität zu Köln	Universität	Q54096	http://www.wikidata.org/entity/Q54096	Universität zu Köln	Q222741	00rcxh774	https://ror.org/00rcxh774		Data Center for the Humanites							
